Name, Rows, Density, Time, Size
mv_exhaustive, 10, 1.000000, 4.989000e-08, 14359
mv_dense, 10, 1.000000, 6.164000e-08, 15211
mv_sparse, 10, 1.000000, 8.662000e-08, 15803
mv_blas, 10, 1.000000, 1.292700e-07, 15259
mv_exhaustive, 13, 1.000000, 1.850400e-07, 18503
mv_dense, 13, 1.000000, 6.978000e-08, 15811
mv_sparse, 13, 1.000000, 1.227500e-07, 16691
mv_blas, 13, 1.000000, 1.645000e-07, 15859
mv_exhaustive, 17, 1.000000, 1.226800e-07, 18567
mv_dense, 17, 1.000000, 2.846900e-07, 16835
mv_sparse, 17, 1.000000, 2.264700e-07, 18211
mv_blas, 17, 1.000000, 2.939200e-07, 16883
mv_dense, 21, 1.000000, 3.153800e-07, 18115
mv_sparse, 21, 1.000000, 4.086500e-07, 20115
mv_blas, 21, 1.000000, 3.074200e-07, 18163
mv_dense, 26, 1.000000, 7.677900e-07, 20075
mv_sparse, 26, 1.000000, 5.486100e-07, 23035
mv_blas, 26, 1.000000, 3.605800e-07, 20123
mv_dense, 33, 1.000000, 7.166400e-07, 23491
mv_sparse, 33, 1.000000, 9.706400e-07, 28131
mv_blas, 33, 1.000000, 3.402100e-07, 23539
mv_dense, 42, 1.000000, 1.458000e-06, 29035
mv_sparse, 42, 1.000000, 1.636550e-06, 36411
mv_blas, 42, 1.000000, 5.922100e-07, 29083
mv_dense, 53, 1.000000, 2.274910e-06, 37571
mv_sparse, 53, 1.000000, 2.162340e-06, 49171
mv_blas, 53, 1.000000, 7.394500e-07, 37619
mv_dense, 68, 1.000000, 5.448290e-06, 52331
mv_sparse, 68, 1.000000, 4.382930e-06, 71251
mv_blas, 68, 1.000000, 1.096670e-06, 52379
mv_dense, 86, 1.000000, 6.203880e-06, 74795
mv_sparse, 86, 1.000000, 7.327780e-06, 104875
mv_blas, 86, 1.000000, 1.799280e-06, 74843
mv_dense, 109, 1.000000, 1.294048e-05, 111043
mv_sparse, 109, 1.000000, 1.490554e-05, 159155
mv_blas, 109, 1.000000, 3.287420e-06, 111091
mv_dense, 138, 1.000000, 1.856062e-05, 168811
mv_sparse, 138, 1.000000, 1.834588e-05, 245691
mv_blas, 138, 1.000000, 3.942510e-06, 168859
mv_dense, 175, 1.000000, 2.727763e-05, 262051
mv_sparse, 175, 1.000000, 3.185622e-05, 385403
mv_blas, 175, 1.000000, 7.587430e-06, 262099
mv_dense, 222, 1.000000, 4.623188e-05, 412075
mv_sparse, 222, 1.000000, 4.555498e-05, 610251
mv_blas, 222, 1.000000, 1.356720e-05, 412123
mv_dense, 281, 1.000000, 8.518379e-05, 650435
mv_sparse, 281, 1.000000, 7.676491e-05, 967555
mv_blas, 281, 1.000000, 4.127777e-05, 650483
mv_dense, 357, 1.000000, 2.084593e-04, 1039555
mv_sparse, 357, 1.000000, 3.193731e-04, 1550931
mv_blas, 357, 1.000000, 4.282317e-05, 1039603
mv_dense, 453, 1.000000, 1.890559e-04, 1663171
mv_sparse, 453, 1.000000, 1.790010e-04, 2485979
mv_blas, 453, 1.000000, 6.832290e-05, 1663219
mv_dense, 574, 1.000000, 3.032025e-04, 2659251
mv_sparse, 574, 1.000000, 3.291893e-04, 3979603
mv_blas, 574, 1.000000, 8.948375e-05, 2659291
mv_dense, 728, 1.000000, 1.126618e-03, 4265779
mv_sparse, 728, 1.000000, 9.047744e-04, 6388779
mv_blas, 728, 1.000000, 1.322567e-04, 4265819
mv_dense, 924, 1.000000, 1.144509e-03, 6859251
mv_sparse, 924, 1.000000, 1.344833e-03, 10278203
mv_blas, 924, 1.000000, 3.333941e-04, 6859291
mv_dense, 1173, 1.000000, 1.334970e-03, 11040459
mv_sparse, 1173, 1.000000, 1.352269e-03, 16549019
mv_blas, 1173, 1.000000, 5.907958e-04, 11040499
mv_dense, 1488, 1.000000, 2.810417e-03, 17751219
mv_sparse, 1488, 1.000000, 2.651591e-03, 26613899
mv_blas, 1488, 1.000000, 9.228066e-04, 17751259
mv_dense, 1888, 1.000000, 5.160869e-03, 28560819
mv_sparse, 1888, 1.000000, 5.015677e-03, 42826699
mv_blas, 1888, 1.000000, 1.484782e-03, 28560859
mv_dense, 2396, 1.000000, 8.809002e-03, 45979123
mv_sparse, 2396, 1.000000, 9.583125e-03, 68952123
mv_blas, 2396, 1.000000, 2.595252e-03, 45979163
mv_dense, 3040, 1.000000, 9.176228e-03, 73995699
mv_sparse, 3040, 1.000000, 9.677968e-03, 110974411
mv_blas, 3040, 1.000000, 3.704100e-03, 73995739
mv_dense, 3857, 1.000000, 1.629187e-02, 119087563
mv_sparse, 3857, 1.000000, 1.626299e-02, 178608939
mv_blas, 3857, 1.000000, 5.929112e-03, 119087603
mv_dense, 4894, 1.000000, 3.019996e-02, 191702451
mv_sparse, 4894, 1.000000, 2.557845e-02, 287527123
mv_blas, 4894, 1.000000, 1.169541e-02, 191702491
mv_dense, 6211, 1.000000, 4.150994e-02, 308725803
mv_sparse, 6211, 1.000000, 4.192362e-02, 463056891
mv_blas, 6211, 1.000000, 1.781374e-02, 308725851
mv_dense, 7881, 1.000000, 6.357733e-02, 497021643
mv_sparse, 7881, 1.000000, 7.126212e-02, 745493971
mv_blas, 7881, 1.000000, 2.516993e-02, 497021691
mv_dense, 10000, 1.000000, 1.371591e-01, 800174259
mv_sparse, 10000, 1.000000, 1.144890e-01, 1200214419
mv_blas, 10000, 1.000000, 4.060965e-02, 800174307
